Transaction ID,Date,Time,Branch,Cashier ID,Invoice Number,Customer ID,Payment Method,Product Code,Product Name,Product Category,Brand,Quantity,Price Per Unit,Discount Applied,Tax Amount,Total Sales Amount,Stock Availability,Supplier ID
TRANS_00014,2024-02-23,09:28:00,Galle,CASHIER_004,INV_41963,CUST_7209,Mobile Payment,PROD_0001,Cheese,Grains,Brand_2,4,184.85,0.0,59.15,798.55,43,SUP_003
TRANS_00015,2024-02-26,18:10:00,Galle,CASHIER_005,INV_11330,CUST_4130,Cash,PROD_0004,Butter,Beverages,Brand_5,2,376.24,0.0,60.2,812.68,62,SUP_004
TRANS_00016,2024-02-20,08:17:00,Colombo,CASHIER_003,INV_39045,CUST_4986,Mobile Payment,PROD_0010,Coffee,Beverages,Brand_5,5,237.5,27.52,95.0,1254.98,45,SUP_004
TRANS_00017,2024-01-18,13:13:00,Galle,CASHIER_002,INV_25814,CUST_6169,Cash,PROD_0009,Rice,Bakery,Brand_2,4,210.6,0.0,67.39,909.79,97,SUP_005
TRANS_00018,2024-02-08,12:49:00,Colombo,CASHIER_002,INV_48829,Guest,Credit Card,PROD_0005,Milk,Meat,Brand_2,3,118.21,0.0,28.37,383.0,37,SUP_002
TRANS_00019,2024-02-10,16:22:00,Colombo,CASHIER_001,INV_85243,Guest,Online Payment,PROD_0008,Coffee,Bakery,Brand_1,3,476.43,0.0,114.34,1543.63,8,SUP_004
TRANS_00020,2024-02-01,09:15:00,Negombo,CASHIER_001,INV_29887,Guest,Mobile Payment,PROD_0002,Sugar,Dairy,Brand_5,4,342.53,0.0,109.61,1479.73,28,SUP_005
TRANS_00021,2024-01-25,15:41:00,Jaffna,CASHIER_003,INV_87139,CUST_6003,Cash,PROD_0010,Bread,Bakery,Brand_2,3,364.17,0.0,87.4,1179.91,22,SUP_005
TRANS_00022,2024-01-05,10:40:00,Colombo,CASHIER_004,INV_69048,CUST_8699,Mobile Payment,PROD_0001,Sugar,Grains,Brand_3,4,128.47,0.0,41.11,554.99,33,SUP_005
TRANS_00023,2024-02-12,11:22:00,Jaffna,CASHIER_001,INV_81376,Guest,Credit Card,PROD_0005,Rice,Dairy,Brand_1,2,417.05,0.0,66.73,900.83,72,SUP_003
TRANS_00024,2024-01-29,10:07:00,Jaffna,CASHIER_003,INV_62757,CUST_9199,Online Payment,PROD_0008,Bread,Meat,Brand_1,4,393.81,0.0,126.02,1701.26,3,SUP_001
TRANS_00025,2024-01-15,19:30:00,Negombo,CASHIER_005,INV_12719,CUST_5415,Cash,PROD_0003,Cheese,Meat,Brand_4,3,172.6,0.0,41.42,559.22,81,SUP_004
TRANS_00026,2024-01-06,16:01:00,Galle,CASHIER_004,INV_53687,CUST_2713,Credit Card,PROD_0006,Butter,Beverages,Brand_3,4,425.43,0.0,136.14,1837.86,58,SUP_001
TRANS_00027,2024-01-21,12:18:00,Galle,CASHIER_001,INV_62976,CUST_1018,Online Payment,PROD_0007,Milk,Bakery,Brand_5,3,349.05,0.0,83.77,1130.92,56,SUP_001
TRANS_00028,2024-01-14,12:33:00,Negombo,CASHIER_002,INV_47752,CUST_8941,Cash,PROD_0001,Chicken,Bakery,Brand_2,3,320.34,0.0,76.88,1037.9,11,SUP_002
TRANS_00029,2024-02-23,09:56:00,Jaffna,CASHIER_001,INV_94896,CUST_9165,Mobile Payment,PROD_0009,Tea,Beverages,Brand_4,4,197.49,0.0,63.2,853.16,49,SUP_002
TRANS_00030,2024-02-28,18:13:00,Negombo,CASHIER_002,INV_19150,Guest,Online Payment,PROD_0006,Eggs,Grains,Brand_1,3,390.42,29.0,93.7,1235.96,84,SUP_004
TRANS_00031,2024-02-25,10:32:00,Jaffna,CASHIER_005,INV_73483,CUST_9903,Online Payment,PROD_0008,Coffee,Bakery,Brand_2,5,253.19,20.54,101.28,1346.69,40,SUP_004
TRANS_00032,2024-02-15,14:30:00,Jaffna,CASHIER_002,INV_74923,CUST_3068,Mobile Payment,PROD_0002,Cheese,Dairy,Brand_5,4,106.14,0.0,33.96,458.52,83,SUP_002
TRANS_00033,2024-01-05,16:00:00,Galle,CASHIER_003,INV_91691,CUST_2315,Mobile Payment,PROD_0009,Butter,Grains,Brand_4,5,114.36,0.0,45.74,617.54,80,SUP_003
TRANS_00034,2024-01-15,09:32:00,Jaffna,CASHIER_001,INV_93066,CUST_2646,Online Payment,PROD_0003,Tea,Dairy,Brand_1,3,418.46,0.0,100.43,1355.81,47,SUP_004
TRANS_00035,2024-01-10,12:10:00,Negombo,CASHIER_004,INV_84177,CUST_3950,Credit Card,PROD_0003,Bread,Meat,Brand_4,5,373.25,0.0,149.3,2015.55,74,SUP_002
TRANS_00036,2024-01-15,15:52:00,Galle,CASHIER_004,INV_43466,CUST_8622,Mobile Payment,PROD_0009,Rice,Dairy,Brand_4,3,495.06,0.0,118.81,1603.99,54,SUP_003
TRANS_00037,2024-01-30,13:09:00,Kandy,CASHIER_004,INV_73335,Guest,Online Payment,PROD_0010,Coffee,Meat,Brand_3,3,108.78,19.79,26.11,332.66,1,SUP_005
TRANS_00038,2024-02-25,19:42:00,Colombo,CASHIER_005,INV_75107,CUST_5689,Credit Card,PROD_0010,Coffee,Bakery,Brand_2,5,200.25,0.0,80.1,1081.35,98,SUP_002
TRANS_00039,2024-02-10,09:39:00,Colombo,CASHIER_003,INV_67779,Guest,Mobile Payment,PROD_0003,Bread,Grains,Brand_3,4,170.26,0.0,54.48,735.52,69,SUP_003
TRANS_00040,2024-02-03,16:33:00,Galle,CASHIER_002,INV_43681,CUST_8894,Mobile Payment,PROD_0006,Bread,Beverages,Brand_1,2,401.66,0.0,64.27,867.59,86,SUP_004
TRANS_00041,2024-02-24,17:30:00,Galle,CASHIER_001,INV_61717,Guest,Cash,PROD_0008,Coffee,Grains,Brand_5,4,428.97,5.42,137.27,1847.73,29,SUP_004
TRANS_00042,2024-01-02,18:34:00,Negombo,CASHIER_003,INV_89964,Guest,Cash,PROD_0008,Tea,Beverages,Brand_1,2,118.14,0.0,18.9,255.18,63,SUP_001
TRANS_00043,2024-01-07,12:00:00,Negombo,CASHIER_002,INV_60940,CUST_9850,Online Payment,PROD_0010,Rice,Beverages,Brand_1,4,346.26,13.99,110.8,1481.85,88,SUP_003
TRANS_00044,2024-01-14,15:34:00,Jaffna,CASHIER_002,INV_57537,Guest,Mobile Payment,PROD_0009,Coffee,Dairy,Brand_4,3,175.92,0.0,42.22,569.98,58,SUP_001
TRANS_00045,2024-02-12,11:37:00,Negombo,CASHIER_001,INV_16629,CUST_4990,Credit Card,PROD_0010,Sugar,Dairy,Brand_5,2,334.55,11.65,53.53,710.98,99,SUP_002
TRANS_00046,2024-02-20,18:10:00,Colombo,CASHIER_003,INV_28964,CUST_9850,Mobile Payment,PROD_0003,Bread,Dairy,Brand_2,1,243.3,0.0,19.46,262.76,75,SUP_003
TRANS_00047,2024-01-02,10:58:00,Galle,CASHIER_001,INV_26614,CUST_9619,Cash,PROD_0002,Cheese,Beverages,Brand_3,5,337.47,0.0,134.99,1822.34,28,SUP_005
TRANS_00048,2024-01-03,19:14:00,Negombo,CASHIER_003,INV_70036,CUST_1510,Cash,PROD_0008,Butter,Beverages,Brand_1,4,384.96,0.0,123.19,1663.03,10,SUP_003
TRANS_00049,2024-02-08,10:31:00,Colombo,CASHIER_002,INV_46046,CUST_9984,Mobile Payment,PROD_0007,Chicken,Meat,Brand_3,4,302.22,0.0,96.71,1305.59,89,SUP_001
TRANS_00050,2024-02-24,19:10:00,Negombo,CASHIER_002,INV_66370,CUST_4743,Online Payment,PROD_0006,Cheese,Beverages,Brand_4,1,225.02,0.0,18.0,243.02,32,SUP_003
TRANS_00051,2024-01-10,19:43:00,Jaffna,CASHIER_001,INV_21957,CUST_2527,Online Payment,PROD_0002,Coffee,Bakery,Brand_5,1,334.59,0.0,26.77,361.36,42,SUP_001
TRANS_00052,2024-01-27,14:02:00,Jaffna,CASHIER_001,INV_47700,CUST_6761,Cash,PROD_0010,Eggs,Bakery,Brand_2,4,189.7,0.0,60.7,819.5,71,SUP_003
TRANS_00053,2024-01-08,12:45:00,Negombo,CASHIER_002,INV_66244,CUST_1430,Mobile Payment,PROD_0001,Rice,Grains,Brand_3,3,240.41,0.0,57.7,778.93,18,SUP_005
TRANS_00054,2024-02-12,14:50:00,Colombo,CASHIER_002,INV_92991,CUST_2503,Credit Card,PROD_0007,Butter,Beverages,Brand_3,2,248.02,0.0,39.68,535.72,99,SUP_005
TRANS_00055,2024-02-08,09:26:00,Colombo,CASHIER_002,INV_30632,CUST_1815,Cash,PROD_0005,Cheese,Beverages,Brand_4,5,276.82,0.0,110.73,1494.83,96,SUP_005
TRANS_00056,2024-01-08,13:53:00,Jaffna,CASHIER_001,INV_47125,CUST_8972,Mobile Payment,PROD_0001,Sugar,Beverages,Brand_5,1,103.07,0.0,8.25,111.32,27,SUP_002
TRANS_00057,2024-02-18,12:21:00,Galle,CASHIER_003,INV_25726,Guest,Online Payment,PROD_0003,Rice,Beverages,Brand_5,2,300.1,40.31,48.02,607.91,9,SUP_004
TRANS_00058,2024-02-25,08:43:00,Jaffna,CASHIER_001,INV_70260,CUST_6129,Online Payment,PROD_0010,Butter,Beverages,Brand_3,1,262.01,8.59,20.96,274.38,79,SUP_004
TRANS_00059,2024-02-23,19:46:00,Galle,CASHIER_001,INV_67240,CUST_4986,Online Payment,PROD_0010,Butter,Meat,Brand_1,4,448.21,0.0,143.43,1936.27,28,SUP_003
TRANS_00060,2024-02-19,10:52:00,Colombo,CASHIER_005,INV_92998,Guest,Credit Card,PROD_0006,Coffee,Bakery,Brand_2,1,158.58,0.0,12.69,171.27,77,SUP_002
TRANS_00061,2024-02-18,19:11:00,Colombo,CASHIER_002,INV_92306,CUST_8354,Mobile Payment,PROD_0006,Rice,Beverages,Brand_1,4,276.88,0.0,88.6,1196.12,35,SUP_005
TRANS_00062,2024-01-04,14:00:00,Negombo,CASHIER_001,INV_50685,CUST_1616,Cash,PROD_0006,Tea,Dairy,Brand_1,5,337.63,0.0,135.05,1823.2,74,SUP_005
TRANS_00063,2024-02-20,08:42:00,Jaffna,CASHIER_005,INV_95437,Guest,Online Payment,PROD_0009,Rice,Dairy,Brand_4,1,424.39,49.12,33.95,409.22,10,SUP_005
TRANS_00064,2024-02-11,10:56:00,Colombo,CASHIER_002,INV_67377,CUST_9586,Credit Card,PROD_0006,Coffee,Grains,Brand_4,4,409.79,0.0,131.13,1770.29,6,SUP_003
TRANS_00065,2024-01-05,13:37:00,Colombo,CASHIER_005,INV_98916,CUST_5128,Credit Card,PROD_0006,Bread,Meat,Brand_2,3,224.09,0.0,53.78,726.05,84,SUP_004
TRANS_00066,2024-01-09,18:09:00,Colombo,CASHIER_003,INV_83259,CUST_6381,Credit Card,PROD_0009,Bread,Beverages,Brand_5,3,107.29,0.0,25.75,347.62,27,SUP_003
TRANS_00067,2024-03-01,16:17:00,Kandy,CASHIER_002,INV_28030,Guest,Mobile Payment,PROD_0002,Eggs,Meat,Brand_5,1,364.77,30.9,29.18,363.05,76,SUP_004
TRANS_00068,2024-01-10,10:46:00,Kandy,CASHIER_005,INV_31697,CUST_1715,Online Payment,PROD_0006,Sugar,Beverages,Brand_5,3,400.96,0.0,96.23,1299.11,29,SUP_005
TRANS_00069,2024-01-16,13:16:00,Jaffna,CASHIER_002,INV_58213,CUST_8218,Online Payment,PROD_0005,Butter,Meat,Brand_5,4,486.51,40.06,155.68,2061.66,17,SUP_003
TRANS_00070,2024-01-04,18:56:00,Jaffna,CASHIER_003,INV_82684,CUST_9452,Cash,PROD_0005,Bread,Bakery,Brand_3,4,462.12,0.0,147.88,1996.36,55,SUP_001
TRANS_00071,2024-03-01,11:47:00,Jaffna,CASHIER_003,INV_13495,CUST_7495,Mobile Payment,PROD_0004,Butter,Dairy,Brand_3,2,111.28,41.96,17.8,198.4,83,SUP_003
TRANS_00072,2024-02-20,10:29:00,Kandy,CASHIER_001,INV_47601,CUST_8740,Credit Card,PROD_0008,Cheese,Meat,Brand_1,1,107.6,0.0,8.61,116.21,19,SUP_005
TRANS_00073,2024-03-01,18:23:00,Negombo,CASHIER_004,INV_24573,CUST_4893,Mobile Payment,PROD_0002,Milk,Bakery,Brand_4,5,282.85,0.0,113.14,1527.39,63,SUP_005
TRANS_00074,2024-02-04,08:16:00,Negombo,CASHIER_005,INV_41711,CUST_5772,Online Payment,PROD_0001,Chicken,Grains,Brand_2,5,266.63,0.0,106.65,1439.8,10,SUP_005
TRANS_00075,2024-01-24,09:09:00,Negombo,CASHIER_005,INV_76496,CUST_9316,Cash,PROD_0007,Cheese,Dairy,Brand_4,3,201.46,0.0,48.35,652.73,100,SUP_001
TRANS_00076,2024-01-23,12:06:00,Colombo,CASHIER_005,INV_53583,Guest,Mobile Payment,PROD_0009,Coffee,Bakery,Brand_4,4,352.69,3.16,112.86,1520.46,99,SUP_004
TRANS_00077,2024-01-03,13:00:00,Kandy,CASHIER_001,INV_36144,CUST_6170,Mobile Payment,PROD_0009,Butter,Meat,Brand_4,3,114.65,0.0,27.52,371.47,36,SUP_003
TRANS_00078,2024-02-25,08:48:00,Galle,CASHIER_003,INV_26315,CUST_8159,Online Payment,PROD_0008,Butter,Grains,Brand_2,4,376.83,0.0,120.59,1627.91,66,SUP_003
TRANS_00079,2024-02-21,09:24:00,Jaffna,CASHIER_001,INV_66440,CUST_3956,Mobile Payment,PROD_0006,Bread,Dairy,Brand_3,3,222.6,0.0,53.42,721.22,54,SUP_002
TRANS_00080,2024-02-14,15:34:00,Galle,CASHIER_004,INV_15551,CUST_6776,Online Payment,PROD_0005,Milk,Dairy,Brand_4,3,305.23,0.0,73.26,988.95,20,SUP_001
TRANS_00081,2024-01-10,18:22:00,Jaffna,CASHIER_001,INV_26545,Guest,Mobile Payment,PROD_0006,Butter,Meat,Brand_1,5,161.38,0.0,64.55,871.45,47,SUP_003
TRANS_00082,2024-01-29,09:18:00,Negombo,CASHIER_002,INV_79397,CUST_6150,Mobile Payment,PROD_0004,Bread,Dairy,Brand_2,4,307.1,5.89,98.27,1320.78,99,SUP_003
TRANS_00083,2024-02-15,15:36:00,Kandy,CASHIER_005,INV_47431,CUST_9047,Credit Card,PROD_0002,Rice,Dairy,Brand_4,2,459.47,0.0,73.52,992.46,11,SUP_003
TRANS_00084,2024-02-12,13:55:00,Colombo,CASHIER_005,INV_81063,Guest,Mobile Payment,PROD_0003,Rice,Grains,Brand_5,2,148.54,0.0,23.77,320.85,17,SUP_002
TRANS_00085,2024-02-20,16:25:00,Colombo,CASHIER_003,INV_82616,CUST_8657,Credit Card,PROD_0010,Bread,Dairy,Brand_3,4,499.84,0.0,159.95,2159.31,67,SUP_004
TRANS_00086,2024-02-19,14:59:00,Negombo,CASHIER_001,INV_26426,CUST_2215,Online Payment,PROD_0008,Eggs,Grains,Brand_2,5,355.92,0.0,142.37,1921.97,16,SUP_004
TRANS_00087,2024-02-02,08:56:00,Colombo,CASHIER_005,INV_30056,CUST_3653,Mobile Payment,PROD_0004,Coffee,Meat,Brand_3,1,200.24,0.0,16.02,216.26,70,SUP_003
TRANS_00088,2024-01-09,18:40:00,Galle,CASHIER_005,INV_79924,Guest,Credit Card,PROD_0010,Chicken,Bakery,Brand_2,5,388.25,0.0,155.3,2096.55,72,SUP_001
TRANS_00089,2024-02-22,08:29:00,Colombo,CASHIER_001,INV_94076,CUST_5336,Credit Card,PROD_0010,Butter,Meat,Brand_1,4,455.6,0.0,145.79,1968.19,82,SUP_003
TRANS_00090,2024-01-31,12:10:00,Jaffna,CASHIER_003,INV_69446,Guest,Cash,PROD_0003,Cheese,Beverages,Brand_4,4,181.61,0.0,58.12,784.56,40,SUP_003
TRANS_00091,2024-02-16,13:53:00,Jaffna,CASHIER_002,INV_58567,CUST_2739,Mobile Payment,PROD_0004,Cheese,Dairy,Brand_3,4,199.17,0.0,63.73,860.41,37,SUP_004
TRANS_00092,2024-02-25,18:30:00,Jaffna,CASHIER_002,INV_30932,CUST_6123,Credit Card,PROD_0003,Cheese,Meat,Brand_4,4,451.63,0.0,144.52,1951.04,11,SUP_004
TRANS_00093,2024-02-02,15:48:00,Kandy,CASHIER_002,INV_86460,CUST_1828,Mobile Payment,PROD_0008,Chicken,Beverages,Brand_3,5,103.27,0.0,41.31,557.66,17,SUP_003
TRANS_00094,2024-02-16,14:14:00,Jaffna,CASHIER_003,INV_15930,CUST_4189,Mobile Payment,PROD_0009,Tea,Dairy,Brand_4,5,280.14,0.0,112.06,1512.76,79,SUP_005
TRANS_00095,2024-01-08,10:11:00,Colombo,CASHIER_004,INV_58915,CUST_6555,Mobile Payment,PROD_0003,Sugar,Meat,Brand_5,4,300.03,0.0,96.01,1296.13,17,SUP_003
TRANS_00096,2024-02-21,16:05:00,Negombo,CASHIER_004,INV_29521,CUST_9446,Credit Card,PROD_0006,Chicken,Grains,Brand_2,4,496.25,0.0,158.8,2143.8,38,SUP_005
TRANS_00097,2024-01-22,16:39:00,Negombo,CASHIER_005,INV_74205,CUST_5911,Online Payment,PROD_0001,Coffee,Grains,Brand_1,4,333.48,0.0,106.71,1440.63,92,SUP_001
TRANS_00098,2024-02-08,16:05:00,Galle,CASHIER_005,INV_85711,Guest,Cash,PROD_0010,Cheese,Bakery,Brand_5,5,409.84,0.0,163.94,2213.14,87,SUP_002
TRANS_00099,2024-01-03,17:46:00,Colombo,CASHIER_002,INV_12482,CUST_7861,Credit Card,PROD_0007,Sugar,Beverages,Brand_5,5,468.21,36.79,187.28,2491.54,7,SUP_002
TRANS_00100,2024-02-03,11:32:00,Negombo,CASHIER_003,INV_96799,CUST_7173,Mobile Payment,PROD_0003,Cheese,Meat,Brand_3,5,241.71,0.0,96.68,1305.23,92,SUP_003
TRANS_00101,2024-02-09,16:15:00,Kandy,CASHIER_002,INV_46569,CUST_4684,Mobile Payment,PROD_0005,Sugar,Beverages,Brand_3,4,239.52,39.77,76.65,994.96,35,SUP_003
TRANS_00102,2024-01-08,17:47:00,Negombo,CASHIER_004,INV_61712,CUST_3399,Mobile Payment,PROD_0001,Tea,Dairy,Brand_3,4,362.39,0.0,115.96,1565.52,27,SUP_002
TRANS_00103,2024-02-22,17:11:00,Galle,CASHIER_005,INV_45601,Guest,Credit Card,PROD_0004,Milk,Meat,Brand_2,2,121.0,0.0,19.36,261.36,91,SUP_004
TRANS_00104,2024-01-07,19:37:00,Kandy,CASHIER_001,INV_82135,CUST_3587,Online Payment,PROD_0008,Cheese,Bakery,Brand_3,3,214.17,0.0,51.4,693.91,98,SUP_001
TRANS_00105,2024-02-11,17:47:00,Kandy,CASHIER_005,INV_14888,CUST_3868,Online Payment,PROD_0003,Milk,Beverages,Brand_4,2,474.64,46.3,75.94,978.92,4,SUP_001
TRANS_00106,2024-01-20,17:41:00,Negombo,CASHIER_001,INV_53914,Guest,Online Payment,PROD_0003,Eggs,Beverages,Brand_3,2,423.53,0.0,67.76,914.82,93,SUP_004
TRANS_00107,2024-02-11,12:23:00,Kandy,CASHIER_001,INV_54185,CUST_4164,Credit Card,PROD_0010,Butter,Beverages,Brand_5,3,134.7,0.0,32.33,436.43,23,SUP_002
TRANS_00108,2024-01-31,13:31:00,Kandy,CASHIER_001,INV_44181,CUST_8319,Mobile Payment,PROD_0006,Tea,Meat,Brand_5,1,204.62,0.0,16.37,220.99,30,SUP_001
TRANS_00109,2024-02-12,10:01:00,Jaffna,CASHIER_003,INV_30934,CUST_9233,Mobile Payment,PROD_0002,Tea,Grains,Brand_5,2,187.65,0.0,30.02,405.32,19,SUP_004
TRANS_00110,2024-02-17,18:20:00,Galle,CASHIER_004,INV_81989,CUST_9806,Credit Card,PROD_0004,Chicken,Dairy,Brand_5,4,311.27,0.0,99.61,1344.69,72,SUP_001
TRANS_00111,2024-01-04,17:20:00,Negombo,CASHIER_002,INV_85065,CUST_3695,Mobile Payment,PROD_0009,Cheese,Dairy,Brand_2,5,295.53,22.27,118.21,1573.59,7,SUP_004
TRANS_00112,2024-01-09,16:45:00,Jaffna,CASHIER_004,INV_83912,Guest,Online Payment,PROD_0005,Milk,Beverages,Brand_3,1,398.32,0.0,31.87,430.19,5,SUP_004
TRANS_00113,2024-01-23,19:57:00,Colombo,CASHIER_005,INV_17897,CUST_2130,Online Payment,PROD_0001,Tea,Beverages,Brand_2,2,406.33,32.29,65.01,845.38,53,SUP_003
TRANS_00114,2024-02-27,14:31:00,Jaffna,CASHIER_004,INV_59236,Guest,Credit Card,PROD_0006,Bread,Bakery,Brand_5,4,311.54,0.0,99.69,1345.85,28,SUP_001
TRANS_00115,2024-02-18,08:23:00,Galle,CASHIER_004,INV_98276,CUST_7948,Online Payment,PROD_0004,Sugar,Beverages,Brand_3,2,210.26,36.25,33.64,417.91,14,SUP_001
TRANS_00116,2024-02-21,19:16:00,Jaffna,CASHIER_005,INV_12050,Guest,Cash,PROD_0002,Chicken,Dairy,Brand_4,5,368.81,12.24,147.52,1979.33,5,SUP_004
TRANS_00117,2024-01-29,11:59:00,Negombo,CASHIER_002,INV_17398,Guest,Mobile Payment,PROD_0004,Chicken,Grains,Brand_5,5,409.02,11.85,163.61,2196.86,18,SUP_005
TRANS_00118,2024-01-15,15:03:00,Galle,CASHIER_003,INV_17989,CUST_3869,Online Payment,PROD_0009,Cheese,Dairy,Brand_3,4,414.32,0.0,132.58,1789.86,53,SUP_004
TRANS_00119,2024-01-10,13:07:00,Jaffna,CASHIER_002,INV_80507,CUST_4692,Mobile Payment,PROD_0003,Cheese,Dairy,Brand_5,4,487.11,0.0,155.88,2104.32,17,SUP_004
TRANS_00120,2024-01-16,12:21:00,Kandy,CASHIER_003,INV_94765,Guest,Online Payment,PROD_0006,Bread,Meat,Brand_2,1,207.38,0.0,16.59,223.97,77,SUP_001
TRANS_00121,2024-02-25,09:14:00,Kandy,CASHIER_005,INV_98008,CUST_8854,Credit Card,PROD_0006,Tea,Dairy,Brand_2,2,484.83,0.0,77.57,1047.23,96,SUP_004
TRANS_00122,2024-02-28,12:08:00,Negombo,CASHIER_002,INV_61987,CUST_6269,Mobile Payment,PROD_0007,Cheese,Meat,Brand_3,3,204.62,0.0,49.11,662.97,63,SUP_004
TRANS_00123,2024-01-07,16:00:00,Galle,CASHIER_002,INV_58589,CUST_1749,Credit Card,PROD_0003,Milk,Grains,Brand_5,5,331.66,0.0,132.66,1790.96,19,SUP_002
TRANS_00124,2024-01-22,11:55:00,Jaffna,CASHIER_005,INV_42208,CUST_6530,Mobile Payment,PROD_0008,Cheese,Beverages,Brand_2,3,167.71,0.0,40.25,543.38,62,SUP_002
TRANS_00125,2024-02-28,17:15:00,Colombo,CASHIER_005,INV_14433,CUST_2217,Cash,PROD_0001,Butter,Bakery,Brand_2,1,382.87,0.0,30.63,413.5,64,SUP_004
TRANS_00126,2024-01-24,09:01:00,Negombo,CASHIER_005,INV_73334,CUST_1257,Cash,PROD_0009,Eggs,Beverages,Brand_1,1,311.77,0.0,24.94,336.71,36,SUP_001
TRANS_00127,2024-02-02,19:54:00,Jaffna,CASHIER_002,INV_24026,CUST_9591,Credit Card,PROD_0004,Sugar,Meat,Brand_5,3,426.09,0.0,102.26,1380.53,50,SUP_001
TRANS_00128,2024-01-24,14:55:00,Jaffna,CASHIER_005,INV_41877,CUST_4700,Mobile Payment,PROD_0002,Milk,Dairy,Brand_4,4,250.87,0.0,80.28,1083.76,81,SUP_001
TRANS_00129,2024-02-14,10:55:00,Colombo,CASHIER_004,INV_66873,CUST_6427,Cash,PROD_0009,Milk,Bakery,Brand_2,5,290.2,0.0,116.08,1567.08,9,SUP_003
TRANS_00130,2024-02-27,17:16:00,Negombo,CASHIER_001,INV_33508,CUST_6152,Cash,PROD_0004,Chicken,Bakery,Brand_4,1,219.71,0.0,17.58,237.29,72,SUP_004
TRANS_00131,2024-02-13,17:13:00,Galle,CASHIER_004,INV_28343,CUST_2284,Mobile Payment,PROD_0001,Bread,Beverages,Brand_2,1,236.24,0.0,18.9,255.14,76,SUP_004
TRANS_00132,2024-02-19,13:34:00,Colombo,CASHIER_003,INV_69054,CUST_6829,Online Payment,PROD_0007,Rice,Meat,Brand_4,1,408.87,0.0,32.71,441.58,31,SUP_001
TRANS_00133,2024-01-06,12:34:00,Kandy,CASHIER_004,INV_93086,Guest,Online Payment,PROD_0006,Coffee,Dairy,Brand_1,1,477.18,0.0,38.17,515.35,97,SUP_003
TRANS_00134,2024-01-07,10:15:00,Colombo,CASHIER_002,INV_66489,CUST_9395,Online Payment,PROD_0002,Milk,Dairy,Brand_3,5,137.23,0.0,54.89,741.04,41,SUP_004
TRANS_00135,2024-01-01,12:58:00,Jaffna,CASHIER_004,INV_21101,CUST_4977,Credit Card,PROD_0007,Rice,Bakery,Brand_3,3,207.36,0.0,49.77,671.85,21,SUP_004
